Federative_Unit,NM_MUN,Lula_votes,Lula_per,Jair_votes,Jair_per
Bahia,Curaçá,16347,81.13,3803,18.87
Bahia,Dário Meira,4490,79.23,1177,20.77
Bahia,Dias D'Ávila,29699,74.81,9999,25.19
Bahia,Dom Basílio,7425,86.72,1137,13.28
Bahia,Dom Macedo Costa,2526,72.17,974,27.83
Bahia,Elísio Medrado,4215,75.36,1378,24.64
Bahia,Encruzilhada,8296,74.95,2772,25.05
Bahia,Entre Rios,17696,79.46,4573,20.54
Bahia,Érico Cardoso,4915,80.71,1175,19.29
Bahia,Esplanada,15520,79.27,4059,20.73
Bahia,Euclides Da Cunha,28981,83.06,5911,16.94
Bahia,Eunápolis,32559,53.51,28290,46.49
Bahia,Fátima,10190,85.9,1673,14.1
Bahia,Feira Da Mata,2581,64.56,1417,35.44
Bahia,Feira De Santana,221406,64.03,124354,35.97
Bahia,Filadélfia,8574,76.12,2690,23.88
Bahia,Firmino Alves,2445,68.74,1112,31.26
Bahia,Floresta Azul,4359,76.65,1328,23.35
Bahia,Formosa Do Rio Preto,10674,71.54,4247,28.46
Bahia,Gandu,10980,63.54,6300,36.46
Bahia,Gavião,2328,72.39,888,27.61
Bahia,Gentio Do Ouro,6496,85.84,1072,14.16
Bahia,Glória,8843,88.58,1140,11.42
Bahia,Gongogi,2752,77.61,794,22.39
Bahia,Governador Mangabeira,10744,79.36,2794,20.64
Bahia,Guajeru,4208,87.59,596,12.41
Bahia,Guanambi,34354,65.54,18060,34.46
Bahia,Guaratinga,7618,71.04,3105,28.96
Bahia,Heliópolis,7931,87.31,1153,12.69
Bahia,Iaçu,11661,81.57,2634,18.43
Bahia,Ibiassucê,4486,68,2111,32
Bahia,Ibicaraí,8862,64.79,4816,35.21
Bahia,Ibicoara,8134,69.17,3626,30.83
Bahia,Ibicuí,6262,72.13,2420,27.87
Bahia,Ibipeba,9212,86.08,1490,13.92
Bahia,Ibipitanga,6981,76.25,2175,23.75
Bahia,Ibiquera,2316,85.12,405,14.88
Bahia,Ibirapitanga,7213,74.28,2497,25.72
Bahia,Ibirapuã,3028,53.28,2655,46.72
Bahia,Ibirataia,7087,65.58,3719,34.42
Bahia,Ibitiara,6782,78.63,1843,21.37
Bahia,Ibititá,10011,82.86,2071,17.14
Bahia,Ibotirama,11054,69.92,4755,30.08
Bahia,Ichu,3728,78.97,993,21.03
Bahia,Igaporã,8560,87.16,1261,12.84
Bahia,Igrapiúna,4729,76.26,1472,23.74
Bahia,Iguaí,9064,68.57,4155,31.43
Bahia,Ilhéus,60653,61.15,38528,38.85
Bahia,Inhambupe,16147,79.43,4181,20.57
Bahia,Ipecaetá,8848,82.62,1861,17.38
Bahia,Ipiaú,15800,66.95,7799,33.05
Bahia,Ipirá,27996,80.32,6860,19.68
Bahia,Ipupiara,4513,68.59,2067,31.41
Bahia,Irajuba,3177,80.55,767,19.45
Bahia,Iramaia,4992,79.24,1308,20.76
Bahia,Iraquara,13222,89.74,1511,10.26
Bahia,Irará,14700,79.76,3731,20.24
Bahia,Irecê,27983,71.59,11104,28.41
Bahia,Itabela,9849,62.32,5956,37.68
Bahia,Itaberaba,27532,73.98,9681,26.02
Bahia,Itabuna,59332,52.93,52768,47.07
Bahia,Itacaré,9902,73.71,3532,26.29
Bahia,Itaeté,5576,71.13,2263,28.87
Bahia,Itagi,4857,67.53,2335,32.47
Bahia,Itagibá,5967,68.23,2779,31.77
Bahia,Itagimirim,2853,69.33,1262,30.67
Bahia,Itaguaçu Da Bahia,6826,84.83,1221,15.17
Bahia,Itaju Do Colônia,2206,58.87,1541,41.13
Bahia,Itajuípe,8308,68.21,3872,31.79
